symbols,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,TAGS,Exchange
A,Agilent Technologies Inc,Electronic Technology,Electronic Equipment/Instruments,XLV - Health Care,,NYSE
AAL,American Airlines Group Inc,Transportation,Airlines,XLI - Industrials,airlines,NASDAQ
AAPL,Apple Inc,Electronic Technology,Computer Processing Hardware,XLK - Technology,mag7,NASDAQ
ABBV,AbbVie Inc,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NYSE
ABNB,Airbnb Inc,Consumer Services,Hotels/Resorts/Cruise lines,XLY - Consumer Discretionary,turismo hospedagem hotel,NASDAQ
ABT,Abbott Laboratories,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
ACGL,Arch Capital Group Ltd,Finance,Specialty Insurance,XLF - Financial,,NASDAQ
ACN,Accenture plc,Technology Services,Information Technology Services,XLK - Technology,,NYSE
ADBE,Adobe Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
ADI,Analog Devices Inc,Electronic Technology,Semiconductors,XLK - Technology,,NASDAQ
ADM,Archer-Daniels-Midland Company,Process Industries,Agricultural Commodities/Milling,XLP - Consumer Staples,,NYSE
ADP,Automatic Data Processing Inc,Technology Services,Data Processing Services,XLI - Industrials,,NASDAQ
ADSK,Autodesk Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
AEE,Ameren Corporation,Utilities,Electric Utilities,XLU - Utilities,,NYSE
AEP,American Electric Power Company Inc,Utilities,Electric Utilities,XLU - Utilities,,NASDAQ
AES,The AES Corporation,Utilities,Electric Utilities,XLU - Utilities,,NYSE
AFL,Aflac Incorporated,Finance,Life/Health Insurance,XLF - Financial,,NYSE
AFRM,Affirm Holdings Inc,Finance,Finance/Rental/Leasing,XLF - Financial,,NASDAQ
AIG,American International Group Inc,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
AIZ,Assurant Inc,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
AJG,Arthur J Gallagher & Co,Finance,Insurance Brokers/Services,XLF - Financial,,NYSE
AKAM,Akamai Technologies Inc,Technology Services,Internet Software/Services,XLK - Technology,,NASDAQ
ALB,Albemarle Corporation,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
ALGN,Align Technology Inc,Health Technology,Medical Specialties,XLV - Health Care,,NASDAQ
ALK,Alaska Air Group Inc,Transportation,Airlines,XLI - Industrials,airlines aviao,NYSE
ALL,The Allstate Corporation,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
ALLE,Allegion plc,Producer Manufacturing,Building Products,XLI - Industrials,,NYSE
AM,Antero Midstream Corporation,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
AMAT,Applied Materials Inc,Electronic Technology,Electronic Production Equipment,XLK - Technology,,NASDAQ
AMCR,Amcor plc,Process Industries,Containers/Packaging,XLB - Materials,,NYSE
AMD,Advanced Micro Devices Inc,Electronic Technology,Semiconductors,XLK - Technology,,NASDAQ
AME,AMETEK Inc,Electronic Technology,Electronic Equipment/Instruments,XLI - Industrials,,NYSE
AMGN,Amgen Inc,Health Technology,Biotechnology,XLV - Health Care,,NASDAQ
AMP,Ameriprise Financial Inc,Finance,Investment Managers,XLF - Financial,,NYSE
AMT,American Tower Corporation,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
AMZN,Amazoncom Inc,Retail Trade,Internet Retail,XLY - Consumer Discretionary,mag7,NASDAQ
ANET,Arista Networks Inc,Electronic Technology,Telecommunications Equipment,XLK - Technology,,NYSE
AON,Aon plc,Finance,Insurance Brokers/Services,XLF - Financial,,NYSE
AOS,A O Smith Corporation,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
APA,APA Corporation,Energy Minerals,Oil & Gas Production,XLE - Energy,,NASDAQ
APD,Air Products and Chemicals Inc,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
APH,Amphenol Corporation,Electronic Technology,Electronic Components,XLK - Technology,,NYSE
APO,Apollo Global Management Inc,Finance,Investment Managers,XLF - Financial,,NYSE
ARCC,Ares Capital Corporation,Finance,Investment Managers,XLF - Financial,,NASDAQ
ARE,Alexandria Real Estate Equities Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
ARTNA,Artesian Resources Corporation,Utilities,Water Utilities,XLU - Utilities,,NASDAQ
ASML,ASML Holding NV,Electronic Technology,Electronic Production Equipment,XLK - Technology,,NASDAQ
ATO,Atmos Energy Corporation,Utilities,Gas Distributors,XLU - Utilities,,NYSE
